trader_id,side,price,qty
8,Bid,4799,500
4,Bid,4799,800
7,Bid,0,2
8,Bid,0,1
0,Bid,0,4
2,Bid,0,5
0,Ask,4799,200
9,Bid,0,5
4,Bid,0,2
4,Bid,0,3
2,Bid,0,3
2,Bid,0,6
5,Bid,0,11
9,Bid,4799,200
3,Bid,4799,2000
9,Ask,4799,238
6,Bid,0,15
8,Bid,0,11
5,Ask,4799,215
7,Bid,0,5
5,Bid,0,4
3,Ask,4799,200
7,Bid,0,12
4,Bid,4799,2000
7,Bid,0,2
3,Ask,4799,200
9,Bid,0,14
8,Ask,4799,100
9,Bid,0,15
2,Bid,4799,100
0,Ask,4799,1000
8,Ask,4799,300
5,Ask,4799,600
0,Bid,4799,100
1,Ask,4799,1900
3,Bid,4799,100
6,Bid,0,20
0,Bid,4799,600
5,Bid,0,7
7,Ask,4799,300
8,Bid,4799,300
0,Bid,4799,100
2,Bid,0,33
3,Bid,0,28
5,Bid,0,8
7,Bid,0,13
4,Bid,0,16
4,Bid,0,19
8,Bid,0,6
6,Bid,4800,200
0,Bid,4800,300
1,Bid,0,38
5,Ask,4799,100
7,Bid,0,53
6,Bid,4799,100
3,Bid,0,33
2,Bid,4799,1250
3,Ask,4799,2000
9,Bid,4799,500
2,Bid,4799,1000
0,Bid,0,54
5,Ask,4799,1000
9,Bid,0,55
3,Ask,4799,500
6,Bid,0,14
1,Bid,0,13
4,Bid,4799,3000
8,Bid,0,60
3,Bid,0,14
3,Ask,4799,1000
8,Bid,0,48
8,Bid,4799,1000
9,Bid,4799,1000
0,Bid,0,54
2,Bid,0,69
8,Ask,4799,1150
2,Bid,0,27
9,Ask,4799,100
5,Bid,4799,400
0,Bid,0,4
8,Ask,4799,402
7,Bid,0,51
2,Bid,0,48
8,Bid,0,23
4,Ask,4799,400
8,Bid,0,68
0,Bid,0,59
0,Bid,0,78
4,Bid,0,88
2,Bid,0,16
9,Bid,4799,800
9,Bid,0,90
4,Bid,0,24
0,Bid,0,62
2,Bid,0,94
3,Bid,4799,1000
9,Bid,0,89
2,Bid,4799,3000
5,Ask,4799,800
2,Ask,4799,400
2,Bid,4799,700
9,Bid,0,29
6,Bid,0,68
3,Bid,4799,1200
8,Bid,0,34
3,Bid,4799,1000
5,Ask,4799,166
2,Bid,0,3
0,Bid,0,61
2,Bid,0,70
8,Bid,4799,500
7,Bid,0,57
1,Bid,0,108
8,Ask,4799,3000
5,Bid,0,13
8,Bid,4800,200
0,Bid,0,107
8,Bid,0,107
7,Ask,4800,1000
4,Bid,4800,100
6,Bid,0,87
9,Bid,0,8
5,Ask,4800,200
3,Bid,4800,300
0,Bid,0,33
5,Bid,4800,200
1,Bid,0,46
8,Bid,0,34
6,Bid,0,52
5,Bid,0,1
4,Ask,4800,1000
2,Ask,4800,1000
2,Bid,0,64
9,Bid,0,76
6,Bid,4800,100
5,Bid,0,10
7,Bid,4800,100
6,Bid,4800,200
7,Bid,4800,200
8,Ask,4800,300
5,Ask,4800,200
2,Bid,0,36
0,Ask,4801,750
3,Ask,4800,139
7,Bid,4800,195
8,Bid,0,144
9,Bid,4800,100
7,Bid,4800,300
7,Ask,4801,935
9,Bid,0,139
4,Bid,0,122
1,Bid,0,50
1,Ask,4801,1600
1,Bid,4801,200
7,Bid,0,39
4,Bid,0,30
6,Bid,0,99
2,Bid,4801,200
5,Bid,4801,600
7,Bid,0,110
5,Ask,4801,1000
7,Bid,0,139
2,Bid,4801,9000
1,Bid,0,133
9,Ask,4801,500
1,Ask,4801,500
3,Ask,4801,500
5,Bid,4801,5000
4,Bid,0,75
7,Bid,0,68
6,Bid,4801,3000
0,Bid,0,36
8,Bid,0,104
9,Ask,4801,1000
4,Bid,0,147
3,Ask,4801,4000
5,Bid,0,110
3,Bid,0,1
8,Bid,0,73
8,Ask,4801,2000
7,Bid,4801,1100
6,Ask,4801,3000
6,Bid,0,116
8,Ask,4801,1200
6,Ask,4801,1200
7,Bid,0,50
1,Ask,4801,2000
4,Bid,4801,800
7,Bid,0,97
6,Bid,0,68
9,Bid,0,97
6,Bid,4800,1300
2,Bid,4800,1100
0,Bid,4800,195
3,Ask,4800,988
1,Ask,4800,9000
8,Ask,4800,5000
2,Bid,0,121
7,Bid,4800,200
2,Bid,4800,2000
8,Ask,4800,1000
6,Bid,0,182
7,Bid,0,88
6,Bid,4800,1000
4,Bid,0,200
6,Ask,4800,1200
1,Bid,0,110
3,Bid,0,149
7,Bid,4800,1000
1,Bid,4800,3000
0,Bid,0,104
5,Bid,0,12
0,Bid,4800,368
9,Ask,4801,300
8,Bid,4802,2000
0,Bid,0,150
3,Bid,0,108
8,Bid,0,51
2,Bid,0,128
5,Bid,4801,300
0,Ask,4801,100
3,Ask,4802,213
9,Bid,0,130
7,Bid,0,198
0,Bid,0,206
